id,actual_miles,estimated_miles,error,map_url
228,333,333,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.51861,-74.4125&markers=color%3Ared%7C43.15472,-77.61583&markers=color%3Agreen%7Clabel%3A2%7C40.51861,-74.4125&markers=color%3Ared%7Clabel%3A2%7C43.15472,-77.61583"
234,626,626,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C36.97861,-76.42833&markers=color%3Ared%7C42.52778,-70.92917&markers=color%3Agreen%7Clabel%3A2%7C36.97861,-76.42833&markers=color%3Ared%7Clabel%3A2%7C42.52778,-70.92917"
253,434,433,-1,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.90389,-74.11889&markers=color%3Ared%7C44.1,-77.583&markers=color%3Agreen%7Clabel%3A2%7C40.90389,-74.11889&markers=color%3Ared%7Clabel%3A2%7C44.1,-77.583&markers=color%3Agreen%7Clabel%3A3%7C40.90389,-74.11889&markers=color%3Ared%7Clabel%3A3%7C44.1,-77.583"
282,625,625,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C41.64139,-80.15167&markers=color%3Ared%7C44.46861,-71.18556&markers=color%3Agreen%7Clabel%3A2%7C41.64139,-80.15167&markers=color%3Ared%7Clabel%3A2%7C44.46861,-71.18556"
289,456,456,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C39.84667,-75.71194&markers=color%3Ared%7C43.609,-79.506&markers=color%3Agreen%7Clabel%3A2%7C39.84667,-75.71194&markers=color%3Ared%7Clabel%3A2%7C43.609,-79.506&markers=color%3Agreen%7Clabel%3A3%7C39.48611,-75.02611&markers=color%3Ared%7Clabel%3A3%7C43.65,-79.383&markers=color%3Agreen%7Clabel%3A4%7C39.48611,-75.02611&markers=color%3Ared%7Clabel%3A4%7C43.65,-79.383&markers=color%3Agreen%7Clabel%3A5%7C39.48611,-75.02611&markers=color%3Ared%7Clabel%3A5%7C43.65,-79.383"
300,341,341,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.33556,-75.92722&markers=color%3Ared%7C42.375,-71.10611&markers=color%3Agreen%7Clabel%3A2%7C40.33556,-75.92722&markers=color%3Ared%7Clabel%3A2%7C42.375,-71.10611&markers=color%3Agreen%7Clabel%3A3%7C40.33556,-75.92722&markers=color%3Ared%7Clabel%3A3%7C42.375,-71.10611&markers=color%3Agreen%7Clabel%3A4%7C40.03778,-76.30583&markers=color%3Ared%7Clabel%3A4%7C42.35833,-71.06028&markers=color%3Agreen%7Clabel%3A5%7C40.37444,-76.30306&markers=color%3Ared%7Clabel%3A5%7C42.22222,-71.0"
305,520,520,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C38.92583,-79.84694&markers=color%3Ared%7C41.80056,-73.12167&markers=color%3Agreen%7Clabel%3A2%7C38.92583,-79.84694&markers=color%3Ared%7Clabel%3A2%7C41.80056,-73.12167&markers=color%3Agreen%7Clabel%3A3%7C38.92583,-79.84694&markers=color%3Ared%7Clabel%3A3%7C41.80056,-73.12167"
324,300,321,21,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.41889,-80.58972&markers=color%3Ared%7C40.78389,-76.23056&markers=color%3Agreen%7Clabel%3A2%7C40.41889,-80.58972&markers=color%3Ared%7Clabel%3A2%7C40.78389,-76.23056&markers=color%3Agreen%7Clabel%3A3%7C40.01778,-79.58972&markers=color%3Ared%7Clabel%3A3%7C40.79,-76.55&markers=color%3Agreen%7Clabel%3A4%7C40.01778,-79.58972&markers=color%3Ared%7Clabel%3A4%7C40.79,-76.55&markers=color%3Agreen%7Clabel%3A5%7C40.01778,-79.58972&markers=color%3Ared%7Clabel%3A5%7C40.79,-76.55"
327,387,385,-2,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.19972,-76.73139&markers=color%3Ared%7C43.583,-79.65&markers=color%3Agreen%7Clabel%3A2%7C40.19972,-76.73139&markers=color%3Ared%7Clabel%3A2%7C43.583,-79.65&markers=color%3Agreen%7Clabel%3A3%7C40.19972,-76.73139&markers=color%3Ared%7Clabel%3A3%7C43.583,-79.65&markers=color%3Agreen%7Clabel%3A4%7C39.84667,-75.71194&markers=color%3Ared%7Clabel%3A4%7C43.609,-79.506&markers=color%3Agreen%7Clabel%3A5%7C40.383,-77.867&markers=color%3Ared%7Clabel%3A5%7C43.65,-79.383"
328,65,62,-3,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C39.95222,-75.16417&markers=color%3Ared%7C40.23306,-76.1375&markers=color%3Agreen%7Clabel%3A2%7C39.95222,-75.16417&markers=color%3Ared%7Clabel%3A2%7C40.23306,-76.1375&markers=color%3Agreen%7Clabel%3A3%7C39.95222,-75.16417&markers=color%3Ared%7Clabel%3A3%7C40.27361,-76.88472&markers=color%3Agreen%7Clabel%3A4%7C39.95222,-75.16417&markers=color%3Ared%7Clabel%3A4%7C40.14389,-75.11611&markers=color%3Agreen%7Clabel%3A5%7C39.15806,-75.52472&markers=color%3Ared%7Clabel%3A5%7C40.23306,-76.1375"
